	~venusandadonis 5~sonnets 1~loverscomplaint 14
limit	~venusandadonis 1~sonnets 1~rapeoflucrece 1
limits	~sonnets 1
limning	~venusandadonis 1
limping	~sonnets 1
line	~sonnets 3~rapeoflucrece 1
linen	~rapeoflucrece 1
lines	~venusandadonis 1~sonnets 8~rapeoflucrece 1~loverscomplaint 1
linger	~sonnets 1
lingering	~rapeoflucrece 1
lion	~venusandadonis 3~rapeoflucrece 2
lion's	~sonnets 1
lip	~venusandadonis 1~sonnets 1
lips	~venusandadonis 22~various 3~sonnets 7~rapeoflucrece 6~loverscomplaint 1
lips;	~venusandadonis 3
liquid	~sonnets 1
list	~venusandadonis 1~sonnets 1~rapeoflucrece 1~loverscomplaint 1
listening	~venusandadonis 1~rapeoflucrece 3
listeth	~venusandadonis 1
lists	~venusandadonis 1
little	~venusandadonis 5~sonnets 2~rapeoflucrece 12~loverscomplaint 1
live	~venusandadonis 1~various 6~sonnets 28~rapeoflucrece 15
live--such	~sonnets 1
lived	~venusandadonis 5~sonnets 4~rapeoflucrece 2
livelihood	~venusandadonis 1
lively	~venusandadonis 1~various 1~sonnets 2~rapeoflucrece 1
liver	~rapeoflucrece 1
liveries	~venusandadonis 1~loverscomplaint 1
livery	~venusandadonis 1~sonnets 1~loverscomplaint 1
livery;	~rapeoflucrece 2
lives	~venusandadonis 4~sonnets 9~rapeoflucrece 3
livest	~rapeoflucrece 1
living	~venusandadonis 2~sonnets 7~rapeoflucrece 3~loverscomplaint 1
lo	~venusandadonis 5~rapeoflucrece 2~loverscomplaint 2
load	~venusandadonis 1~rapeoflucrece 2
loan;	~sonnets 1
loathed	~venusandadonis 1~rapeoflucrece 4
loathsome	~venusandadonis 1~sonnets 1~rapeoflucrece 4
lock'd	~sonnets 1~rapeoflucrece 1
lock'd-up	~rapeoflucrece 1
locks	~venusandadonis 3~rapeoflucrece 1~loverscomplaint 1
lode-star	~rapeoflucrece 1
lodged	~sonnets 1~rapeoflucrece 2~loverscomplaint 1
lofty	~sonnets 2~rapeoflucrece 1
long	~venusandadonis 7~various 2~sonnets 11~rapeoflucrece 9~loverscomplaint 2
long-experienced	~rapeoflucrece 1
long-hid	~rapeoflucrece 1
long-lived	~sonnets 1
long-living	~rapeoflucrece 1
long;	~rapeoflucrece 1
longer	~venusandadonis 1~sonnets 6~rapeoflucrece 1
longing	~various 1~sonnets 1
longs	~venusandadonis 1~rapeoflucrece 1
look	~venusandadonis 3~various 3~sonnets 15~rapeoflucrece 5
look'd	~venusandadonis 1~various 1~sonnets 2~rapeoflucrece 2
look'st	~rapeoflucrece 1
look;	~sonnets 1~rapeoflucrece 2
looketh	~venusandadonis 1
looking	~various 1~sonnets 1~rapeoflucrece 1
looks	~venusandadonis 7~various 2~sonnets 12~rapeoflucrece 11
loop-holes	~rapeoflucrece 1
loose	~loverscomplaint 2
lord	~rapeoflucrece 13
lording's	~various 1
lordly	~rapeoflucrece 1
lords	~sonnets 2~rapeoflucrece 4
lordship	~venusandadonis 1~rapeoflucrece 2
lordship's	~rapeoflucrece 1
lose	~venusandadonis 1~sonnets 8~rapeoflucrece 3
losing	~sonnets 3
loss	~various 1~sonnets 7~rapeoflucrece 2
loss;	~various 1~sonnets 1
losses	~sonnets 1
lost	~venusandadonis 5~various 4~sonnets 3~rapeoflucrece 5
lost;	~sonnets 1
lot	~rapeoflucrece 1
loud	~venusandadonis 2~sonnets 1
loudest	~various 1
lour'st	~sonnets 1
louring	~venusandadonis 1
lours	~venusandadonis 1
love	~venusandadonis 46~various 36~sonnets 151~rapeoflucrece 10~loverscomplaint 6
love's	~venusandadonis 6~various 3~sonnets 20~rapeoflucrece 4
love,'--thus	~venusandadonis 1
love-kindling	~sonnets 1
love-sick	~venusandadonis 2
love-suit	~sonnets 1
love;	~venusandadonis 2~various 1~sonnets 2~rapeoflucrece 3
loved	~venusandadonis 2~various 1~sonnets 5~rapeoflucrece 1
loveless	~various 1
loveliness	~sonnets 1
lovely	~venusandadonis 2~various 2~sonnets 8
lover	~venusandadonis 1~various 2~sonnets 1
lover'd	~loverscomplaint 1
lover's	~sonnets 2
lover;	~venusandadonis 1
lovers	~venusandadonis 2~sonnets 2
loves	~venusandadonis 3~various 3~sonnets 8~rapeoflucrece 1
lovest	~various 3~sonnets 6
loving	~venusandadonis 1~various 1~sonnets 8~rapeoflucrece 2
low	~venusandadonis 2~sonnets 1~rapeoflucrece 3~loverscomplaint 1
low-declined	~rapeoflucrece 1
low;	~rapeoflucrece 1
lower	~venusandadonis 1
lowly	~venusandadonis 1
loyal	~various 1~rapeoflucrece 3
luck	~sonnets 1
lullaby	~various 1
lungs	~loverscomplaint 2
lure	~venusandadonis 1
lurk	~venusandadonis 1~various 1~rapeoflucrece 3
lurking	~rapeoflucrece 1
lurks	~rapeoflucrece 1
lust	~venusandadonis 2~sonnets 2~rapeoflucrece 17
lust's	~venusandadonis 1~rapeoflucrece 1
lust;	~rapeoflucrece 1
lustful	~venusandadonis 1~rapeoflucrece 2
lustily	~venusandadonis 1
lusty	~venusandadonis 2~sonnets 2
lute	~various 2
luxury	~loverscomplaint 1
lying	~sonnets 1
mad	~venusandadonis 4~sonnets 2~rapeoflucrece 4
mad;	~sonnets 1
madding	~sonnets 1
made	~venusandadonis 8~various 4~sonnets 17~rapeoflucrece 9~loverscomplaint 6
madly	~venusandadonis 1~rapeoflucrece 2
madmen's	~sonnets 1
madness	~sonnets 1
madrigals	~various 1
maid	~various 1~sonnets 1~rapeoflucrece 7~loverscomplaint 4
maiden	~venusandadonis 1~sonnets 3~rapeoflucrece 2
maiden-tongued	~loverscomplaint 1
maidens	~loverscomplaint 1
maids	~rapeoflucrece 1
maim	~loverscomplaint 1
main	~sonnets 3
maintain	~sonnets 1
maintain'd	~rapeoflucrece 1
majesty	~venusandadonis 1~sonnets 1~rapeoflucrece 1
majesty's	~rapeoflucrece 1
majesty;	~venusandadonis 1~sonnets 1~rapeoflucrece 1
make	~venusandadonis 14~various 3~sonnets 37~rapeoflucrece 29~loverscomplaint 4
makeless	~sonnets 1
makes	~venusandadonis 9~various 1~sonnets 7~rapeoflucrece 10~loverscomplaint 2
makes;	~various 1
makest	~venusandadonis 1~various 1~sonnets 2~rapeoflucrece 2
maketh	~rapeoflucrece 1
making	~venusandadonis 1~sonnets 5
maladies	~venusandadonis 1~sonnets 2
malcontent	~venusandadonis 1
man	~venusandadonis 4~various 4~sonnets 5~rapeoflucrece 8~loverscomplaint 2
man's	~venusandadonis 1~sonnets 2~rapeoflucrece 3~loverscomplaint 1
manage	~venusandadonis 1~loverscomplaint 1
mane	~venusandadonis 3
mangling	~venusandadonis 1
manifold	~loverscomplaint 1
manly	~rapeoflucrece 3
manner	~sonnets 1~rapeoflucrece 2
manners	~sonnets 3~rapeoflucrece 1
mansion	~sonnets 2~rapeoflucrece 1
mansions	~loverscomplaint 1
mantle	~various 1~rapeoflucrece 1
many	~venusandadonis 3~various 2~sonnets 13~rapeoflucrece 7~loverscomplaint 7
many's	~sonnets 1
map	~sonnets 2~rapeoflucrece 2
mar	~sonnets 1
marble	~sonnets 1~rapeoflucrece 3
march	~sonnets 1~rapeoflucrece 1
march'd	~rapeoflucrece 2
marcheth	~rapeoflucrece 1
marching	~rapeoflucrece 1
mare	~venusandadonis 1
margent	~loverscomplaint 1
margents	~rapeoflucrece 1
marigold	~sonnets 1
marigolds	~rapeoflucrece 1
marjoram	~sonnets 1
mark	~venusandadonis 2~various 2~sonnets 2~rapeoflucrece 3
marketh	~venusandadonis 1
marking	~venusandadonis 1~rapeoflucrece 1
marks	~rapeoflucrece 2
marr'd	~venusandadonis 1
marriage	~sonnets 1~rapeoflucrece 1
married	~various 1~sonnets 2
marrow	~venusandadonis 1
marrow-eating	~venusandadonis 1
martial	~rapeoflucrece 1
martyr'd	~rapeoflucrece 1
marvel	~venusandadonis 1~sonnets 1
mask	~rapeoflucrece 1
mask'd	~sonnets 2
masked	~sonnets 1
masonry	~sonnets 1
master	~venusandadonis 3~various 2~sonnets 1
master'd	~venusandadonis 1~rapeoflucrece 1
master-mistress	~sonnets 1
mastering	~venusandadonis 1~loverscomplaint 1
match	~venusandadonis 2
matcheth	~sonnets 1
mate;	~rapeoflucrece 1
mated	~venusandadonis 1
matter	~venusandadonis 2~sonnets 2~rapeoflucrece 1~loverscomplaint 1
matter;	~sonnets 1
maturity	~sonnets 1
maund	~loverscomplaint 1
maw	~venusandadonis 1
may	~venusandadonis 12~various 7~sonnets 25~rapeoflucrece 22~loverscomplaint 4
may;	~venusandadonis 1
mayest	~rapeoflucrece 1
mayst	~venusandadonis 1~sonnets 12
maze	~rapeoflucrece 1
me	~venusandadonis 32~various 32~sonnets 160~rapeoflucrece 51~loverscomplaint 21
me;	~venusandadonis 6~sonnets 2
mead	~venusandadonis 1
meadows	~sonnets 1
meads	~rapeoflucrece 1
meagre	~venusandadonis 1
mean	~venusandadonis 2~rapeoflucrece 4
meaner	~rapeoflucrece 1
meaning	~venusandadonis 1~various 1~rapeoflucrece 1
means	~sonnets 3~rapeoflucrece 3
meant	~sonnets 1
meantime	~rapeoflucrece 1
measure	~sonnets 1
measure;	~sonnets 1
measured	~sonnets 1
measures;	~venusandadonis 1
mediators	~rapeoflucrece 1
medicine	~sonnets 1
meditation	~sonnets 1
meed	~venusandadonis 1~rapeoflucrece 1
meek	~rapeoflucrece 1
meet	~venusandadonis 1~sonnets 2~rapeoflucrece 2
meeting	~venusandadonis 1~rapeoflucrece 2
meetings	~various 1
meetness	~sonnets 1
meets	~venusandadonis 1
melancholy	~venusandadonis 1
melancholy;	~sonnets 1
mellow	~venusandadonis 1
melodious	~various 1
melody	~rapeoflucrece 1
melt	~venusandadonis 2~rapeoflucrece 1
melted	~venusandadonis 1
melting	~venusandadonis 1~rapeoflucrece 1
melting;	~loverscomplaint 1
melts	~venusandadonis 2
memorial	~sonnets 1
memory	~sonnets 6
memory;	~sonnets 2
men	~venusandadonis 4~various 4~sonnets 15~rapeoflucrece 9~loverscomplaint 2
men's	~venusandadonis 1~sonnets 5~rapeoflucrece 2
mend	~venusandadonis 1~sonnets 2
mend;	~sonnets 1
mended	~sonnets 1
merchandized	~sonnets 1
merchant	~rapeoflucrece 2
merciful	~venusandadonis 1
merciless	~venusandadonis 1~rapeoflucrece 1
mercy	~sonnets 1~rapeoflucrece 1
merely	~loverscomplaint 2
merit	~various 1~sonnets 5
meritorious	~rapeoflucrece 1
merits	~sonnets 1
mermaid	~rapeoflucrece 1
mermaid's	~venusandadonis 2
merry	~venusandadonis 1~various 3~rapeoflucrece 3
messenger	~rapeoflucrece 1
messengers	~sonnets 1~rapeoflucrece 1
met	~venusandadonis 1
metal	~loverscomplaint 1
methinks	~various 1~sonnets 3
methods	~sonnets 1
metre	~sonnets 1
mettle	~loverscomplaint 1
mickle	~various 1
mid-day	~venusandadonis 1
midday	~venusandadonis 1
middle	~sonnets 1
midnight	~rapeoflucrece 1
midst	~various 1~rapeoflucrece 2
might	~venusandadonis 3~various 5~sonnets 25~rapeoflucrece 15~loverscomplaint 3
might;	~rapeoflucrece 1
mightest	~sonnets 1
mightier	~sonnets 1~rapeoflucrece 2
mightily	~rapeoflucrece 1
mightst	~venusandadonis 1~sonnets 1
mighty	~rapeoflucrece 1~loverscomplaint 1
mighty;	~rapeoflucrece 1
mihi	~venusandadonis 1
milch	~venusandadonis 1
mild	~rapeoflucrece 6
mild;	~rapeoflucrece 1
mildness	~rapeoflucrece 1
miles	~sonnets 2
milk	~venusandadonis 1
milk-white	~various 1
million'd	~sonnets 1
millions	~sonnets 1
mind	~venusandadonis 5~sonnets 13~rapeoflucrece 11~loverscomplaint 2
mind's	~sonnets 1
mind;	~sonnets 3~rapeoflucrece 1~loverscomplaint 2
minded	~sonnets 1
mindful	~rapeoflucrece 1
minds	~venusandadonis 1~sonnets 3~rapeoflucrece 4
mine	~venusandadonis 12~various 6~sonnets 52~rapeoflucrece 21~loverscomplaint 7
mine;	~venusandadonis 1~sonnets 1~rapeoflucrece 1
mingle	~venusandadonis 1
mingled	~venusandadonis 2~rapeoflucrece 1
minion	~sonnets 1
minister	~loverscomplaint 1
ministret	~venusandadonis 1
minority	~rapeoflucrece 1
minstrels	~rapeoflucrece 1
minute	~venusandadonis 1~various 1~rapeoflucrece 2
minute's	~venusandadonis 1~rapeoflucrece 1
minutes	~various 1~sonnets 4~rapeoflucrece 1
miracle	~sonnets 1
mire	~rapeoflucrece 1
miretur	~venusandadonis 1
mirror	~rapeoflucrece 1
mirth	~rapeoflucrece 2
miscall'd	~sonnets 1
mischance	~rapeoflucrece 1
mischances	~venusandadonis 1~rapeoflucrece 1
mischief	~venusandadonis 1~rapeoflucrece 1
misdeeds	~rapeoflucrece 2
miser	~sonnets 1
misery	~venusandadonis 1~various 1
misery;	~venusandadonis 1
misfortune	~rapeoflucrece 1
misgoverning	~rapeoflucrece 1
mishaps	~venusandadonis 1
misled;	~rapeoflucrece 1
misplaced	~sonnets 1
misprision	~sonnets 1
miss'd	~sonnets 1~rapeoflucrece 1
miss;	~venusandadonis 1
missing	~venusandadonis 1
mist	~rapeoflucrece 2
mistake	~venusandadonis 1~sonnets 1
mistakes	~venusandadonis 1
mistaking;	~sonnets 1
mistook	~rapeoflucrece 1
mistress	~venusandadonis 1~various 1~sonnets 8~rapeoflucrece 5~loverscomplaint 1
mistrust	~rapeoflucrece 2
mistrust;	~venusandadonis 1~rapeoflucrece 1
mistrustful	~venusandadonis 1
mists	~rapeoflucrece 1
misty	~venusandadonis 1~rapeoflucrece 2
misuse	~sonnets 1
mix'd	~venusandadonis 1~various 1~sonnets 1~rapeoflucrece 1
moan	~various 2~sonnets 5~rapeoflucrece 2~loverscomplaint 1
moan;	~rapeoflucrece 1
moans	~rapeoflucrece 4
moans;	~venusandadonis 1
mock	~sonnets 3~rapeoflucrece 3
mocking-birds	~rapeoflucrece 1
modern	~sonnets 1
modest	~venusandadonis 2~rapeoflucrece 5
modestly	~rapeoflucrece 1
modesty	~rapeoflucrece 2~loverscomplaint 2
moe	~rapeoflucrece 2~loverscomplaint 2
moiety	~sonnets 1~rapeoflucrece 1
moist	~venusandadonis 2
moisten'd	~rapeoflucrece 1
moisture	~venusandadonis 2~loverscomplaint 1
moment	~sonnets 1~rapeoflucrece 2~loverscomplaint 1
momentary	~rapeoflucrece 1
monarch's	~sonnets 1~loverscomplaint 1
monarchs	~rapeoflucrece 1
monarchy	~loverscomplaint 1
monsters	~sonnets 1
month	~various 2
months	~rapeoflucrece 1
monument	~sonnets 2~rapeoflucrece 1
monuments	~sonnets 1~rapeoflucrece 2
mood	~rapeoflucrece 2
mood;	~loverscomplaint 1
moods	~sonnets 1
moody	~rapeoflucrece 2
moon	~venusandadonis 1~sonnets 3~rapeoflucrece 2
moon;	~various 1
moralize	~venusandadonis 1~rapeoflucrece 1
more	~venusandadonis 27~various 5~sonnets 57~rapeoflucrece 28~loverscomplaint 3
more;	~venusandadonis 1~sonnets 2~rapeoflucrece 2
morn	~venusandadonis 5~various 3~sonnets 2~rapeoflucrece 1
morning	~venusandadonis 2~various 1~sonnets 2~rapeoflucrece 3
morning's	~rapeoflucrece 2
morrow	~sonnets 1~rapeoflucrece 2
mortal	~venusandadonis 5~various 1~sonnets 5~rapeoflucrece 4
mortality	~sonnets 1~rapeoflucrece 1
mortgaged	~sonnets 1
most	~venusandadonis 6~sonnets 24~rapeoflucrece 5~loverscomplaint 2
most;	~sonnets 1
mot	~rapeoflucrece 1
mote	~rapeoflucrece 1
mother	~venusandadonis 2~sonnets 2~rapeoflucrece 2
mother's	~sonnets 3
mothers	~rapeoflucrece 2
motion	~sonnets 5~rapeoflucrece 1~loverscomplaint 1
motion;	~rapeoflucrece 1
motives	~loverscomplaint 1
motley	~sonnets 1
moulds	~venusandadonis 1
mount	~venusandadonis 1~rapeoflucrece 1
mountain	~venusandadonis 1~sonnets 1
mountain-snow	~venusandadonis 1
mountain-spring	~rapeoflucrece 1
mountain-tops	~sonnets 1
mountains	~various 1~rapeoflucrece 1
mounted	~venusandadonis 2~sonnets 1
mounts	~venusandadonis 1
mourn	~various 1~sonnets 3~rapeoflucrece 1
mourn'st	~various 1
mourner	~venusandadonis 1~rapeoflucrece 1
mourners	~various 1~sonnets 2
mournful	~sonnets 1
mourning	~sonnets 2~rapeoflucrece 3
mouse	~rapeoflucrece 1
mouth	~venusandadonis 3
mouthed	~sonnets 1
mouths	~venusandadonis 2~sonnets 1
move	~venusandadonis 1~various 2~sonnets 1~rapeoflucrece 1
moved	~venusandadonis 1~rapeoflucrece 3~loverscomplaint 1
mover	~venusandadonis 1
moves	~rapeoflucrece 2
moving	~venusandadonis 1~various 1~sonnets 2
mow	~sonnets 1
much	~venusandadonis 7~various 1~sonnets 16~rapeoflucrece 10~loverscomplaint 3
much;	~venusandadonis 1
mud	~rapeoflucrece 1
mud;	~sonnets 1~loverscomplaint 1
muffled	~rapeoflucrece 1
mulberries	~venusandadonis 1
murder	~rapeoflucrece 4
murder'd	~venusandadonis 2
murder's	~rapeoflucrece 1
murder'st	~rapeoflucrece 2
murdered	~rapeoflucrece 1
murderous	~sonnets 3~rapeoflucrece 1
murders	~venusandadonis 1~rapeoflucrece 1
murmur	~venusandadonis 1
murther	~venusandadonis 1
musets	~venusandadonis 1
music	~venusandadonis 2~various 4~sonnets 5
must	~venusandadonis 8~various 3~sonnets 21~rapeoflucrece 15~loverscomplaint 4
muster	~rapeoflucrece 1
mustering	~rapeoflucrece 1
mute	~venusandadonis 2~sonnets 1~rapeoflucrece 2
mute;	~sonnets 1
mutiny	~venusandadonis 2~rapeoflucrece 2
mutual	~venusandadonis 1~various 1~sonnets 2
my	~venusandadonis 64~various 36~sonnets 334~rapeoflucrece 133~loverscomplaint 22
myrtle	~venusandadonis 1~various 2
myrtles	~various 1
myself	~venusandadonis 5~various 2~sonnets 27~rapeoflucrece 3~loverscomplaint 4
nails	~rapeoflucrece 3
naked	~venusandadonis 1~various 1~sonnets 1~rapeoflucrece 1~loverscomplaint 1
name	~venusandadonis 1~various 1~sonnets 16~rapeoflucrece 8
name;	~venusandadonis 2~sonnets 1~rapeoflucrece 2
nameless	~rapeoflucrece 1
napkin	~loverscomplaint 1
nativity	~rapeoflucrece 1
nature	~venusandadonis 2~sonnets 5~rapeoflucrece 2~loverscomplaint 2
nature's	~venusandadonis 2~various 1~sonnets 4~rapeoflucrece 1~loverscomplaint 1
naught	~venusandadonis 1
nay	~various 3
ne'er	~venusandadonis 2~various 1~sonnets 3~rapeoflucrece 3~loverscomplaint 2
ne'er-cloying	~sonnets 1
near	~various 1~sonnets 5
nearer	~rapeoflucrece 1
nearly	~sonnets 1
necessary	~sonnets 1
neck	~venusandadonis 6~sonnets 1
nectar	~venusandadonis 1
need	~venusandadonis 1~various 1~sonnets 5~rapeoflucrece 1
need'st	~sonnets 1
needeth	~rapeoflucrece 1
needing	~various 1~sonnets 1
needle	~rapeoflucrece 2
needs	~venusandadonis 3~various 2~sonnets 4~loverscomplaint 1
needy	~sonnets 1
neglect	~sonnets 2~rapeoflucrece 1
neglected	~sonnets 1
negligence	~rapeoflucrece 1~loverscomplaint 1
neigh--no	~sonnets 1
neighbors	~venusandadonis 1
neighbour	~venusandadonis 1
neighbour's	~rapeoflucrece 1
neighs	~venusandadonis 3
neither	~venusandadonis 1~various 4~sonnets 1~rapeoflucrece 3~loverscomplaint 2
nerves	~sonnets 1
nest	~venusandadonis 1~various 1~rapeoflucrece 1
nests	~rapeoflucrece 1
net	~venusandadonis 1
never	~venusandadonis 20~various 4~sonnets 14~rapeoflucrece 12~loverscomplaint 2
never-conquer'd	~rapeoflucrece 1
never-ending	~rapeoflucrece 1
never-resting	~sonnets 1
new	~sonnets 20~rapeoflucrece 3~loverscomplaint 2
new-appearing	~sonnets 1
new-bleeding	~loverscomplaint 1
new-born	~rapeoflucrece 1
new-fall'n	~venusandadonis 1
new-fangled	~sonnets 1
new-fired	~sonnets 1
new-found	~sonnets 1
new-kill'd	~rapeoflucrece 1
new-sprung	~venusandadonis 1
new-waxen	~rapeoflucrece 1
new;	~sonnets 3
newer	~sonnets 2~rapeoflucrece 1
newly	~rapeoflucrece 1~loverscomplaint 1
news	~venusandadonis 1~sonnets 1~rapeoflucrece 1
next	~venusandadonis 1~sonnets 2~rapeoflucrece 1
nibbler	~various 1
nice	~loverscomplaint 1
nice;	~rapeoflucrece 1
niggard	~sonnets 2~rapeoflucrece 1
niggarding	~sonnets 1
nigh	~venusandadonis 2~loverscomplaint 1
night	~venusandadonis 19~various 9~sonnets 20~rapeoflucrece 26
night's	~venusandadonis 1~rapeoflucrece 1
night-owl	~rapeoflucrece 1
night-waking	~rapeoflucrece 1
night-wanderers	~venusandadonis 1
night;	~venusandadonis 1~sonnets 2~rapeoflucrece 1
nightingale	~various 1
nightly	~sonnets 2~rapeoflucrece 2
nights	~sonnets 2~rapeoflucrece 2
nill	~various 1
nimble	~various 1~sonnets 2~rapeoflucrece 1
nine	~sonnets 1
no	~venusandadonis 32~various 11~sonnets 60~rapeoflucrece 50~loverscomplaint 2
no;	~venusandadonis 2
noble	~venusandadonis 1~rapeoflucrece 1~loverscomplaint 2
noblemen	~rapeoflucrece 2
nobler	~sonnets 1
nobly	~rapeoflucrece 1
noise	~venusandadonis 1~rapeoflucrece 2
non-payment	~venusandadonis 1
none	~venusandadonis 1~various 5~sonnets 12~rapeoflucrece 6~loverscomplaint 2
none;	~venusandadonis 1
noon	~sonnets 1~rapeoflucrece 1
noon-tide	~rapeoflucrece 1
nor	~venusandadonis 10~various 5~sonnets 28~rapeoflucrece 10~loverscomplaint 8
northern	~rapeoflucrece 1
nose	~venusandadonis 1~rapeoflucrece 1
nostril	~venusandadonis 1
nostrils	~venusandadonis 1
not	~venusandadonis 78~various 41~sonnets 158~rapeoflucrece 87~loverscomplaint 19
notary	~rapeoflucrece 1
note	~venusandadonis 2~sonnets 1~rapeoflucrece 2
note;	~sonnets 1~loverscomplaint 1
noted	~sonnets 2~rapeoflucrece 1
notes	~rapeoflucrece 1
noteth;	~venusandadonis 1
nothing	~venusandadonis 5~various 3~sonnets 18~rapeoflucrece 5
notice	~venusandadonis 1
notorious	~rapeoflucrece 1
nought	~venusandadonis 4~various 1~sonnets 3~rapeoflucrece 2
nourish'd	~sonnets 1
novel	~sonnets 1
now	~venusandadonis 36~various 7~sonnets 34~rapeoflucrece 17~loverscomplaint 3
now;	~sonnets 1
nowhere	~loverscomplaint 1
number	~sonnets 3
numbers	~sonnets 4~rapeoflucrece 1
numbs	~venusandadonis 1
nun	~loverscomplaint 2
nuns	~venusandadonis 1
nurse	~venusandadonis 2~sonnets 1~rapeoflucrece 4
nurse's	~venusandadonis 1
nursed	~sonnets 1
nursest	~rapeoflucrece 1
nurseth	~sonnets 1
nuzzling	~venusandadonis 1
nymph	~venusandadonis 1
nymphs	~venusandadonis 1~sonnets 1
o'er	~venusandadonis 1~sonnets 5~rapeoflucrece 7~loverscomplaint 2
o'er-green	~sonnets 1
o'er-press'd	~sonnets 1
o'er-read	~sonnets 1
o'er-sways	~sonnets 1
o'er-worn;	~sonnets 1
o'er;	~rapeoflucrece 1
o'erflows;	~rapeoflucrece 1
o'ergrown	~rapeoflucrece 1
o'erlook	~sonnets 1
o'ersnow'd	~sonnets 1
o'erstraw'd	~venusandadonis 1
o'ertake	~sonnets 1
o'erwhelming	~venusandadonis 1
o'erworn	~venusandadonis 1
oak's	~rapeoflucrece 1
oaks	~various 1
oath	~various 1~rapeoflucrece 3~loverscomplaint 1
oath;	~rapeoflucrece 2
oaths	~various 2~sonnets 3~rapeoflucrece 1
obdurate	~venusandadonis 1
obedience	~rapeoflucrece 1
obey	~venusandadonis 2~various 1~loverscomplaint 1
obey'd	~venusandadonis 1
obeys	~venusandadonis 1~rapeoflucrece 1~loverscomplaint 1
object	~venusandadonis 2~sonnets 1~rapeoflucrece 2
objects	~sonnets 2~rapeoflucrece 1~loverscomplaint 2
oblation	~sonnets 1
oblations	~loverscomplaint 1
oblivion	~venusandadonis 1~sonnets 1~rapeoflucrece 1
obloquy	~rapeoflucrece 1
obscure	~venusandadonis 1
obscurely	~rapeoflucrece 1
obscures	~venusandadonis 1
obscurity	~venusandadonis 1
obsequious	~sonnets 2
obsequy	~various 1
observance	~rapeoflucrece 1
observed	~loverscomplaint 1
obtain	~rapeoflucrece 2
obtain'd	~rapeoflucrece 1
obtaining;	~rapeoflucrece 1
occasion	~rapeoflucrece 1~loverscomplaint 1
ocean	~venusandadonis 1~sonnets 3~rapeoflucrece 3~loverscomplaint 1
odd	~rapeoflucrece 1
odour	~sonnets 3
odours	~sonnets 1
of	~venusandadonis 119~various 41~sonnets 351~rapeoflucrece 243~loverscomplaint 58
off	~venusandadonis 5~sonnets 2~loverscomplaint 2
offence	~sonnets 1~rapeoflucrece 4
offence's	~sonnets 1
offence;	~sonnets 1~rapeoflucrece 1
offences	~sonnets 1~rapeoflucrece 2~loverscomplaint 1
offend	~venusandadonis 1~sonnets 1
offended	~venusandadonis 1
offender's	~sonnets 1
offenders	~sonnets 1~rapeoflucrece 1
offer	~various 1
offers	~venusandadonis 1
office	~venusandadonis 1~various 1~sonnets 1~rapeoflucrece 3
offices	~sonnets 1
offspring	~rapeoflucrece 1
oft	~venusandadonis 2~various 1~sonnets 5~rapeoflucrece 5~loverscomplaint 1
often	~venusandadonis 1~various 2~sonnets 2~rapeoflucrece 3~loverscomplaint 7
oftentimes	~venusandadonis 1
oil	~venusandadonis 1
old	~venusandadonis 4~various 1~sonnets 22~rapeoflucrece 12
